listing_id,title,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location,property_type,status,listing_type,agent,url,scraped_at
3927382,5 Bed House with En Suite in Runda,"KSh 1,200,000/ month",5 Bedrooms,5 Bathrooms,,"Runda, Westlands",House,,rent,Runda – Fully Furnished Five-Bedroom House for...,https://www.buyrentkenya.com/listings/furnished-5-bedroom-house-for-rent-runda-3927382,2026-03-05 17:07
3927376,4 Bed House with En Suite in Karen,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,Karen – Four-Bedroom House for Rent,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3927376,2026-03-05 17:07
3927291,4 Bed Townhouse with En Suite in Spring Valley,"KSh 452,300/ month",4 Bedrooms,4 Bathrooms,,"Spring Valley, Westlands",Townhouse,,rent,FOR RENT: Four-Bedroom Townhouse – Spring Valle...,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-spring-valley-3927291,2026-03-05 17:07
3927276,4 Bed House with En Suite in Runda,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,,"RUNDA Runda, Westlands",House,,rent,FOR RENT: FOUR-BEDROOM HOUSE – RUNDA,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3927276,2026-03-05 17:07
3927259,5 Bed House with En Suite in Runda,"KSh 450,000/ month",5 Bedrooms,5 Bathrooms,,"Bedroom Standalone House for Rent Runda, Westlands",House,,rent,Runda – Five-Bedroom Standalone House for Rent,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3927259,2026-03-05 17:07
3927235,5 Bed House with En Suite in Kitisuru,"KSh 750,000/ month",5 Bedrooms,5 Bathrooms,,"Kitisuru Kitisuru, Westlands",House,,rent,🏡 FOR RENT: 5-Bedroom House – Kitisuru,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-kitisuru-3927235,2026-03-05 17:07
3927185,5 Bed Townhouse with En Suite at Lavington Green,"KSh 250,000/ month",5 Bedrooms,5 Bathrooms,,,Townhouse,,rent,Cozy 5 bedrooms townhouse with garden for rent...,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3927185,2026-03-05 17:07
3927153,4 Bed House with En Suite in Runda,"KSh 350,000/ month",4 Bedrooms,4 Bathrooms,,"A Standalone maisonette in Runda Runda, Westlands",House,,rent,A Standalone maisonette in Runda,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3927153,2026-03-05 17:07
3926068,5 Bed House with Garden in Karen,"KSh 250,000/ month",5 Bedrooms,4 Bathrooms,,,House,,rent,5 bedroom Townhouse To Let in Karen,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3926068,2026-03-05 17:07
3927146,4 Bed House with En Suite in Runda,"KSh 300,000/ month",4 Bedrooms,4 Bathrooms,,"Runda, Westlands",House,,rent,Spacious 4 Bedroom in Runda!,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3927146,2026-03-05 17:07
