listing_id,title,price_kes,bedrooms,bathrooms,size_sqm,property_type,neighbourhood,county,listing_type,is_sale,is_nairobi,total_rooms,price_per_sqm,bedroom_category,url,scraped_at,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location
3933353,4 Bed House with En Suite at Lavington Green,635000.0,4.0,3.0,13.0,House,Lavington Green,,rent,0,1,7.0,48846.0,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3933353,2026-03-05 17:04,"KSh 635,000/ month",4 Bedrooms,3 Bathrooms,"1,3 ac",
3937650,3 Bed House with En Suite at Thikaroad,70000.0,3.0,5.0,152.0,House,Thikaroad,,rent,0,0,8.0,461.0,3 Bed,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-kenyatta-road-3937650,2026-03-05 17:04,"KSh 70,000/ month",3 Bedrooms,5 Bathrooms,152 m²,
3937645,5 Bed House with En Suite at Karen,450000.0,5.0,5.0,,House,Karen,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3937645,2026-03-05 17:04,"KSh 450,000/ month",5 Bedrooms,5 Bathrooms,,
3937646,4 Bed Townhouse with En Suite in Kilimani,150000.0,4.0,4.0,,Townhouse,Kilimani,,rent,0,1,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kilimani-3937646,2026-03-05 17:04,"KSh 150,000/ month",4 Bedrooms,4 Bathrooms,,
3937644,5 Bed House with En Suite at Off Ruaka Rd,350000.0,5.0,6.0,5.0,House,Runda,Westlands,rent,0,1,11.0,70000.0,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3937644,2026-03-05 17:04,"KSh 350,000/ month",5 Bedrooms,6 Bathrooms,"0,5 m²","Runda, Westlands"
3907919,5 Bed Townhouse with En Suite in Lavington,600000.0,5.0,5.0,,Townhouse,Lavington,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3907919,2026-03-05 17:04,"KSh 600,000/ month",5 Bedrooms,5 Bathrooms,,
3937627,4 Bed Townhouse with En Suite in Kitisuru,413000.0,4.0,4.0,,Townhouse,Kitisuru,,rent,0,0,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kitisuru-3937627,2026-03-05 17:04,"KSh 413,000/ month",4 Bedrooms,4 Bathrooms,,"Bedroom Townhouse for Rent in Kitisuru Kitisuru, Westlands"
3937623,5 Bed Townhouse with En Suite in Lavington,350000.0,5.0,5.0,,Townhouse,Lavington,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3937623,2026-03-05 17:04,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,,
3937620,6 Bed House with En Suite in Runda,903000.0,6.0,6.0,,House,Runda,,rent,0,1,12.0,,6+ Bed,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-runda-3937620,2026-03-05 17:04,"KSh 903,000/ month",6 Bedrooms,6 Bathrooms,,"House for Rent in Runda Runda, Westlands"
3937619,4 Bed House with En Suite in Runda,400000.0,4.0,5.0,,House,Runda,,rent,0,1,9.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3937619,2026-03-05 17:04,"KSh 400,000/ month",4 Bedrooms,5 Bathrooms,,"House for Rent in Runda Runda, Westlands"
